country_code,code,label_fr
FR,2612Z,Fabrication de cartes électroniques assemblées
FR,2620Z,Fabrication d'ordinateurs et d'équipements périphériques
FR,2630Z,Fabrication d'équipements de communication
FR,2640Z,Fabrication de produits électroniques grand public
FR,2651A,Fabrication d'équipements d'aide à la navigation
FR,2651B,Fabrication d'instrumentation scientifique et technique
FR,2652Z,Horlogerie
FR,2660Z,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
FR,2670Z,Fabrication de matériels optique et photographique
FR,2680Z,Fabrication de supports magnétiques et optiques
FR,2711Z,"Fabrication de moteurs, génératrices et transformateurs électriques"
FR,2712Z,Fabrication de matériel de distribution et de commande électrique
FR,2720Z,Fabrication de piles et d'accumulateurs électriques
FR,2731Z,Fabrication de câbles de fibres optiques
FR,2732Z,Fabrication d'autres fils et câbles électroniques ou électriques
FR,2733Z,Fabrication de matériel d'installation électrique
FR,2740Z,Fabrication d'appareils d'éclairage électrique
FR,2751Z,Fabrication d'appareils électroménagers
FR,2752Z,Fabrication d'appareils ménagers non électriques
FR,2790Z,Fabrication d'autres matériels électriques
FR,2811Z,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules"
FR,2812Z,Fabrication d'équipements hydrauliques et pneumatiques
FR,2813Z,Fabrication d'autres pompes et compresseurs
FR,2814Z,Fabrication d'autres articles de robinetterie
FR,2815Z,Fabrication d'engrenages et d'organes mécaniques de transmission
FR,2821Z,Fabrication de fours et brûleurs
FR,2822Z,Fabrication de matériel de levage et de manutention
FR,2823Z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
FR,2824Z,Fabrication d'outillage portatif à moteur incorporé
FR,2825Z,Fabrication d'équipements aérauliques et frigorifiques industriels
FR,2829A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage"
FR,2829B,Fabrication d'autres machines d'usage général
FR,2830Z,Fabrication de machines agricoles et forestières
FR,2841Z,Fabrication de machines-outils pour le travail des métaux
FR,2849Z,Fabrication d'autres machines-outils
FR,2891Z,Fabrication de machines pour la métallurgie
FR,2892Z,Fabrication de machines pour l'extraction ou la construction
FR,2893Z,Fabrication de machines pour l'industrie agro-alimentaire
FR,2894Z,Fabrication de machines pour les industries textiles
FR,2895Z,Fabrication de machines pour les industries du papier et du carton
FR,2896Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques
FR,2899A,Fabrication de machines d'imprimerie
FR,2899B,Fabrication d'autres machines spécialisées
FR,2910Z,Construction de véhicules automobiles
FR,2920Z,Fabrication de carrosseries et remorques
FR,2931Z,Fabrication d'équipements électriques et électroniques automobiles
FR,2932Z,Fabrication d'autres équipements automobiles
FR,3011Z,Construction de navires et de structures flottantes
FR,3012Z,Construction de bateaux de plaisance
FR,3020Z,Construction de locomotives et d'autre matériel ferroviaire roulant
FR,3030Z,Construction aéronautique et spatiale
FR,3040Z,Construction de véhicules militaires de combat
FR,3091Z,Fabrication de motocycles
FR,3092Z,Fabrication de bicyclettes et de véhicules pour invalides
FR,3099Z,Fabrication d'autres équipements de transport n.c.a.
FR,3101Z,Fabrication de meubles de bureau et de magasin
FR,3102Z,Fabrication de meubles de cuisine
FR,3103Z,Fabrication de matelas
FR,3109A,Fabrication de sièges d'ameublement d'intérieur
FR,3109B,Fabrication d'autres meubles et industries connexes de l'ameublement
FR,3211Z,Frappe de monnaie
FR,3212Z,Fabrication d'articles de joaillerie et bijouterie
FR,3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires
FR,3220Z,Fabrication d'instruments de musique
FR,3230Z,Fabrication d'articles de sport
FR,3240Z,Fabrication de jeux et jouets
FR,3250A,Fabrication de matériel médico-chirurgical et dentaire
FR,3250B,Fabrication de lunettes
FR,3291Z,Fabrication d'articles de brosserie
FR,3299Z,Autres activités manufacturières n.c.a.
FR,3311Z,Réparation d'ouvrages en métaux
FR,3312Z,Réparation de machines et équipements mécaniques
FR,3313Z,Réparation de matériels électroniques et optiques
FR,3314Z,Réparation d'équipements électriques
FR,3315Z,Réparation et maintenance navale
FR,3316Z,Réparation et maintenance d'aéronefs et d'engins spatiaux
FR,3317Z,Réparation et maintenance d'autres équipements de transport
FR,3319Z,Réparation d'autres équipements
FR,3320A,"Installation de structures métalliques, chaudronnées et de tuyauterie"
FR,3320B,Installation de machines et équipements mécaniques
FR,3320C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
FR,3320D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
FR,3511Z,Production d'électricité
FR,3512Z,Transport d'électricité
FR,3513Z,Distribution d'électricité
FR,3514Z,Commerce d'électricité
FR,3521Z,Production de combustibles gazeux
FR,3522Z,Distribution de combustibles gazeux par conduites
FR,3523Z,Commerce de combustibles gazeux par conduites
FR,3530Z,Production et distribution de vapeur et d'air conditionné
FR,3600Z,"Captage, traitement et distribution d'eau"
FR,3700Z,Collecte et traitement des eaux usées
FR,3811Z,Collecte des déchets non dangereux
FR,3812Z,Collecte des déchets dangereux
FR,3821Z,Traitement et élimination des déchets non dangereux
FR,3822Z,Traitement et élimination des déchets dangereux
FR,3831Z,Démantèlement d'épaves
FR,3832Z,Récupération de déchets triés
FR,3900Z,Dépollution et autres services de gestion des déchets
FR,4110A,Promotion immobilière de logements
FR,4110B,Promotion immobilière de bureaux
FR,4110C,Promotion immobilière d'autres bâtiments
FR,4110D,Supports juridiques de programmes
FR,4120A,Construction de maisons individuelles
FR,4120B,Construction d'autres bâtiments
FR,4211Z,Construction de routes et autoroutes
FR,4212Z,Construction de voies ferrées de surface et souterraines
FR,4213A,Construction d'ouvrages d'art
FR,4213B,Construction et entretien de tunnels
FR,4221Z,Construction de réseaux pour fluides
FR,4222Z,Construction de réseaux électriques et de télécommunications
FR,4291Z,Construction d'ouvrages maritimes et fluviaux
FR,4299Z,Construction d'autres ouvrages de génie civil n.c.a.
FR,4311Z,Travaux de démolition
FR,4312A,Travaux de terrassement courants et travaux préparatoires
FR,4312B,Travaux de terrassement spécialisés ou de grande masse
FR,4313Z,Forages et sondages
FR,4321A,Travaux d'installation électrique dans tous locaux
FR,4321B,Travaux d'installation électrique sur la voie publique
FR,4322A,Travaux d'installation d'eau et de gaz en tous locaux
FR,4322B,Travaux d'installation d'équipements thermiques et de climatisation
FR,4329A,Travaux d'isolation
FR,4329B,Autres travaux d'installation n.c.a.
FR,4331Z,Travaux de plâtrerie
FR,4332A,Travaux de menuiserie bois et PVC
FR,4332B,Travaux de menuiserie métallique et serrurerie
FR,4332C,Agencement de lieux de vente
FR,4333Z,Travaux de revêtement des sols et des murs
FR,4334Z,Travaux de peinture et vitrerie
FR,4339Z,Autres travaux de finition
FR,4391A,Travaux de charpente
FR,4391B,Travaux de couverture par éléments
FR,4399A,Travaux d'étanchéification
FR,4399B,Travaux de montage de structures métalliques
FR,4399C,Travaux de maçonnerie générale et gros œuvre de bâtiment
FR,4399D,Autres travaux spécialisés de construction
FR,4399E,Location avec opérateur de matériel de construction
FR,4511Z,Commerce de voitures et de véhicules automobiles légers
FR,4519Z,Commerce d'autres véhicules automobiles
FR,4520A,Entretien et réparation de véhicules automobiles légers
FR,4520B,Entretien et réparation d'autres véhicules automobiles
FR,4531Z,Commerce de gros d'équipements automobiles
FR,4532Z,Commerce de détail d'équipements automobiles
FR,4540Z,Commerce et réparation de motocycles
FR,4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
FR,4612A,Centrales d'achat de carburant
FR,4612B,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
FR,4613Z,Intermédiaires du commerce en bois et matériaux de construction
FR,4614Z,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
FR,4615Z,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
FR,4616Z,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
FR,4617A,Centrales d'achat alimentaires
FR,4617B,"Autres intermédiaires du commerce en denrées, boissons et tabac"
FR,4618Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
FR,4619A,Centrales d'achat non alimentaires
FR,4619B,Autres intermédiaires du commerce en produits divers
FR,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
FR,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes
FR,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants
FR,4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux
FR,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes
